投资方所在城市,融资方所在城市,年份,投资企业对数,阵营,rzLng,rzLat
长春,松原,2015,19,0,124.475153872,44.8001982261
潍坊,枣庄,2015,12,0,117.310288282,35.0325600892
南宁,柳州,2015,54,0,109.379696501,24.9370611389
长沙,株洲,2015,31,0,113.519552948,27.1163929922
南宁,桂林,2015,57,0,110.511766561,25.3519452869
深圳,梅州,2015,14,1,116.07866931,24.2018151873
南宁,梧州,2015,9,0,110.97337166,23.2002931144
西安,榆林,2015,66,0,109.553991328,38.0379812098
兰州,武威,2015,3,0,103.051345519,38.1690833868
北京,武汉,2015,495,1,114.338092289,30.6256542221
贵阳,毕节,2015,11,0,105.210244633,27.0684334498
贵阳,毕节,2015,11,0,105.210244633,27.0684334498
长沙,永州,2015,25,0,111.769541227,25.6908733976
西安,汉中,2015,34,0,107.104140807,33.0889083557
广州,汕头,2015,11,0,116.555530272,23.330681385
深圳,汕尾,2015,30,1,115.532047982,23.015488473
广州,江门,2015,20,0,112.667787985,22.2980836353
合肥,池州,2015,15,0,117.366095049,30.2838388703
北京,沈阳,2015,242,1,123.136692183,42.093659482
北京,沧州,2015,81,1,116.752696412,38.2657656361
南宁,河池,2015,39,0,107.840098932,24.6445183862
深圳,河源,2015,15,1,114.957578127,24.041916141
厦门,泉州,2015,94,0,118.255654583,25.211170451
济南,泰安,2015,23,0,117.035710843,36.0009861365
上海,泰州,2015,86,1,120.05755184,32.295852384
成都,泸州,2015,15,0,105.462113801,28.5508654308
郑州,洛阳,2015,62,0,112.02422841,34.2862770095
北京,济南,2015,309,1,117.08325858,36.7325316169
北京,济宁,2015,43,1,116.67539172,35.3785473334
北京,海口,2015,100,1,110.425851879,19.8310955934
北京,淄博,2015,31,1,118.010500338,36.5914699701
合肥,淮北,2015,9,0,116.694557639,33.7492103836
合肥,淮南,2015,13,0,116.733045967,32.7568698018
南京,淮安,2015,47,0,118.961844937,33.3561516982
北京,深圳,2015,2115,1,113.981097454,22.6612174267
深圳,清远,2015,35,1,112.875910188,24.3114647761
上海,温州,2015,121,1,120.010122334,27.6625993395
西安,渭南,2015,40,0,109.856936314,34.9518234916
杭州,湖州,2015,295,0,119.871227322,30.74619674
长沙,湘潭,2015,32,0,112.530368577,27.7049103307
深圳,湛江,2015,7,1,110.303801914,20.4640326399
合肥,滁州,2015,32,0,118.098885241,32.5449846607
北京,滨州,2015,25,1,117.864583632,37.575764401
郑州,漯河,2015,5,0,113.902628459,33.6568181728
厦门,漳州,2015,82,0,117.441200797,24.3831962252
北京,潍坊,2015,72,1,119.075691601,36.536594451
郑州,濮阳,2015,5,0,115.186179744,35.818149697
上海,烟台,2015,115,1,120.805459739,37.2364773878
郑州,焦作,2015,39,0,113.117443123,35.1061306585
北京,牡丹江,2015,12,1,129.889484361,44.5926621777
南宁,玉林,2015,31,0,110.182564447,22.4428700016
昆明,玉溪,2015,15,0,102.678676868,24.2272276938
广州,珠海,2015,153,0,113.251442783,22.1619886251
北京,白城,2015,7,1,123.010020734,45.3426110899
长春,白山,2015,10,0,127.285610012,42.0676635125
武汉,白银,2015,12,0,105.025181453,36.2452049344
南宁,百色,2015,33,0,107.035772771,23.6614884391
长沙,益阳,2015,32,0,111.808649049,28.3334333691
上海,盐城,2015,82,1,120.175286224,33.5153555609
北京,盘锦,2015,11,1,121.99780925,41.082524232
成都,眉山,2015,54,0,103.641301199,30.0619304809
银川,石嘴山,2015,36,0,106.517788673,38.9755007252
北京,石家庄,2015,296,1,114.44284612,38.1289585008
北京,福州,2015,131,1,119.156889973,26.0641963059
北京,秦皇岛,2015,51,1,119.183889469,40.0884882838
杭州,绍兴,2015,226,0,120.628874142,29.7126723592
哈尔滨,绥化,2015,32,0,126.616087847,46.890019373
成都,绵阳,2015,48,0,104.705358137,31.8468625936
济南,聊城,2015,35,0,115.881984089,36.4580882571
广州,肇庆,2015,15,0,112.202555079,23.5397260823
成都,自贡,2015,32,0,104.961213664,29.2217954232
杭州,舟山,2015,113,0,122.13917249,30.0553941995
上海,芜湖,2015,98,1,118.326617536,31.0667366723
上海,苏州,2015,785,1,120.64180324,31.3759706021
佛山,茂名,2015,3,0,110.952666315,22.0152368131
武汉,荆州,2015,56,0,112.655927602,29.8484798317
武汉,荆门,2015,21,0,112.609230363,31.0710770674
福州,莆田,2015,19,0,118.879674516,25.4571400714
济南,莱芜,2015,16,0,117.651838532,36.2867074983
济南,菏泽,2015,25,0,115.689680141,35.1533992642
深圳,萍乡,2015,30,1,113.900285648,27.5155162634
大连,营口,2015,9,0,122.487313407,40.3597557385
沈阳,葫芦岛,2015,5,0,120.192864003,40.6261741141
上海,蚌埠,2015,24,1,117.327663746,33.1119871271
北京,衡水,2015,31,1,115.852176753,37.6362650134
长沙,衡阳,2015,24,0,112.573420211,26.7925301314
杭州,衢州,2015,63,0,118.677516799,28.9340789716
武汉,襄阳,2015,188,0,111.93766036,31.9344507749
北京,西宁,2015,10,1,101.451113542,36.8142937624
北京,西安,2015,308,1,108.789503511,34.1107819802
郑州,许昌,2015,23,0,113.709213472,34.0727649921
南宁,贵港,2015,17,0,109.998175606,23.3100315884
北京,贵阳,2015,86,1,106.707306335,26.8429934259
南宁,贺州,2015,6,0,111.360036634,24.3588162268
成都,资阳,2015,17,0,104.953340591,30.1802755486
深圳,赣州,2015,35,1,115.270276386,25.7067696556
北京,赤峰,2015,40,1,118.904959124,43.1947341885
长春,辽源,2015,4,0,125.304836751,42.8097338625
鞍山,辽阳,2015,7,0,123.411641921,41.1253950951
北京,达州,2015,89,1,107.64272373,31.3639402446
太原,运城,2015,36,0,111.086591024,35.1949340498
南京,连云港,2015,15,0,119.131887634,34.5329086065
长春,通化,2015,3,0,125.948225432,41.9508001253
