投资方所在城市,融资方所在城市,年份,投资企业对数,阵营,rzLng,rzLat
哈尔滨,七台河,2016,4,0,130.862744666,45.8972784732
北京,三亚,2016,42,1,109.417993438,18.3920682395
厦门,三明,2016,309,0,117.397600532,26.2993359511
郑州,三门峡,2016,14,0,110.760616888,34.2297321142
北京,上海,2016,2952,1,121.404084553,31.0844617511
上海,上饶,2016,29,1,117.9497646,28.7600838811
深圳,东莞,2016,387,1,113.877717876,22.9852478082
北京,东营,2016,34,1,118.615798406,37.6303322383
银川,中卫,2016,5,0,105.706395331,36.5693450516
深圳,中山,2016,60,1,113.389491138,22.5221140275
太原,临汾,2016,9,0,111.374331297,36.2353877293
北京,临沂,2016,78,1,118.279789444,35.3092645187
昆明,临沧,2016,4,0,99.6334364438,23.8219398519
秦皇岛,丹东,2016,4,0,124.406588969,40.5485906661
杭州,丽水,2016,46,0,119.510527575,28.1982961548
昆明,丽江,2016,28,0,100.524832949,26.9419138638
呼和浩特,乌兰察布,2016,29,0,112.459882056,41.6808643781
北京,乌海,2016,5,1,106.882873414,39.5669625568
北京,乌鲁木齐,2016,171,1,87.8094631006,43.5313046469
成都,乐山,2016,43,0,103.532404151,29.1782825258
深圳,九江,2016,140,1,115.437787326,29.3279801382
广州,云浮,2016,9,0,111.791609466,22.8645994249
合肥,亳州,2016,26,0,116.182133908,33.4325380314
广州,佛山,2016,142,0,112.94508169,23.0127749858
抚州,佳木斯,2016,67,0,132.200214943,47.255087237
北京,保定,2016,226,1,115.168613586,39.0222939691
昆明,保山,2016,18,0,98.9725729865,24.9790540142
北京,信阳,2016,12,1,114.883648525,32.0816602932
北京,克拉玛依,2016,7,1,85.2440883636,45.6067831345
合肥,六安,2016,36,0,116.312145694,31.7560590375
贵阳,六盘水,2016,10,0,104.651762927,25.8547514439
北京,兰州,2016,72,1,103.638543494,36.3489055767
北京,兴安盟,2016,7,1,121.38567335,46.2157994401
成都,内江,2016,20,0,104.907948563,29.6411079391
北京,包头,2016,58,1,110.218042216,41.6418500189
上海,北京,2016,2728,1,116.409349256,40.1841180253
南宁,北海,2016,8,0,109.335612571,21.6793992485
北京,十堰,2016,31,1,110.44027763,32.4581748245
上海,南京,2016,623,1,118.842463658,31.9287592963
成都,南充,2016,39,0,106.20434408,31.1959423625
深圳,南宁,2016,124,1,108.464015667,23.0584134307
福州,南平,2016,495,0,118.143817602,27.3394707962
北京,南昌,2016,139,1,116.024443256,28.6633621609
上海,南通,2016,314,1,120.996756876,32.1893721211
郑州,南阳,2016,32,0,112.286515719,33.0462533589
北京,厦门,2016,282,1,118.110687591,24.6830448658
哈尔滨,双鸭山,2016,20,0,132.144828937,46.3072456498
杭州,台州,2016,90,0,121.089649417,28.7920082915
北京,合肥,2016,303,1,117.286266302,31.9771580754
南昌,吉安,2016,35,0,114.822849138,26.9730002281
长春,吉林,2016,53,0,126.841290435,43.5774601864
太原,吕梁,2016,24,0,111.262529043,37.6767890314
银川,吴忠,2016,89,0,107.056492602,37.6284503763
郑州,周口,2016,40,0,114.878292807,33.724344276
北京,呼伦贝尔,2016,127,1,121.178173784,49.6519523509
北京,呼和浩特,2016,110,1,111.399370918,40.5810079565
武汉,咸宁,2016,22,0,114.174914704,29.6259158262
西安,咸阳,2016,74,0,108.4494129,34.8272305748
北京,哈尔滨,2016,262,1,127.962992428,45.6369913133
北京,唐山,2016,198,1,118.340532724,39.7358857445
郑州,商丘,2016,40,0,115.699500504,34.2909714488
西安,商洛,2016,9,0,109.898496199,33.6490876037
北京,嘉兴,2016,1028,1,120.753919978,30.654868568
深圳,嘉峪关,2016,5,1,98.1957829561,39.8164874227
长春,四平,2016,13,0,124.473024459,43.5691446169
北京,大同,2016,38,1,113.719411,39.9017848222
北京,大庆,2016,32,1,124.317028033,46.527882805
北京,大连,2016,290,1,122.219575666,39.6124317573
兰州,天水,2016,11,0,105.740149962,34.6504716072
北京,天津,2016,2099,1,117.332394543,39.3085542563
北京,太原,2016,267,1,112.314062259,37.9595409573
北京,威海,2016,69,1,121.982230785,37.1191305819
长沙,娄底,2016,32,0,111.208381843,27.8588837544
武汉,孝感,2016,32,0,113.879115408,31.1191958665
上海,宁德,2016,10,1,119.525337183,27.1525886371
北京,宁波,2016,1459,1,121.462283516,29.7195882339
合肥,安庆,2016,39,0,116.594268791,30.6106751261
西安,安康,2016,10,0,108.92965593,32.7573978184
北京,安阳,2016,14,1,114.636913626,35.4832428865
贵阳,安顺,2016,16,0,105.951365814,25.9956824501
北京,定西,2016,20,1,104.450809433,35.1188717502
成都,宜宾,2016,12,0,104.635831189,28.5712774941
武汉,宜昌,2016,51,0,111.136025443,30.7482684559
北京,宜春,2016,41,1,115.061146398,28.5700976185
西安,宝鸡,2016,42,0,107.201963817,34.3783133934
上海,宣城,2016,27,1,118.856128319,30.690931106
上海,宿州,2016,31,1,117.212164673,33.859664667
北京,宿迁,2016,54,1,118.518044118,33.7845818342
长沙,岳阳,2016,50,0,113.255373328,29.06454046
南宁,崇左,2016,17,0,107.275593841,22.5025039596
成都,巴中,2016,28,0,107.038188833,32.0155969603
北京,巴彦淖尔,2016,14,1,107.564661657,41.5878397003
上海,常州,2016,176,1,119.679057019,31.6925543935
长沙,常德,2016,75,0,111.523850854,29.2974406323
盐城,平凉,2016,4,0,107.22848716,35.2044904905
郑州,平顶山,2016,35,0,113.014207438,33.7968717013
成都,广元,2016,29,0,105.77965861,32.2606905652
成都,广安,2016,29,0,106.663515367,30.4249383604
深圳,广州,2016,951,1,113.535309762,23.3572458759
北京,庆阳,2016,15,1,107.594395318,36.1647995305
北京,廊坊,2016,275,1,116.535844506,39.1117554763
西安,延安,2016,21,0,109.320505828,36.4376585567
郑州,开封,2016,59,0,114.534456752,34.6086381576
北京,张家口,2016,140,1,115.02997891,40.8611481583
长沙,张家界,2016,5,0,110.5299907,29.3920468287
北京,张掖,2016,12,1,99.90171985,38.9235853398
北京,徐州,2016,68,1,117.480705662,34.2587766939
济南,德州,2016,98,0,116.64541331,37.244336402
成都,德阳,2016,67,0,104.430667514,31.1339756257
太原,忻州,2016,18,0,112.43027139,38.6914375116
长沙,怀化,2016,8,0,110.069225757,27.5427297621
深圳,惠州,2016,294,1,114.497757221,23.2450284889
北京,成都,2016,950,1,103.501067544,30.5086877776
上海,扬州,2016,49,1,119.471409838,32.7375896346
北京,承德,2016,107,1,117.551042014,41.340428396
南昌,抚州,2016,10,0,116.433348614,27.5092972994
秦皇岛,抚顺,2016,5,0,124.653898593,41.8327974774
北京,拉萨,2016,306,1,91.1028799309,30.0334521208
北京,揭阳,2016,9,1,116.116729307,23.3375364966
成都,攀枝花,2016,11,0,101.731413397,26.8061938317
郑州,新乡,2016,45,0,114.092211697,35.2670772631
上海,新余,2016,224,1,114.851202951,27.8472307759
上海,无锡,2016,369,1,120.351629529,31.6615440474
北京,日照,2016,26,1,119.134088275,35.5841759127
北京,昆明,2016,239,1,102.875102299,25.3852977816
昆明,昭通,2016,11,0,103.998145486,27.6525864948
太原,晋中,2016,43,0,112.961855815,37.3279302446
太原,晋城,2016,4,0,112.705075962,35.6106981578
昆明,普洱,2016,12,0,100.718373036,23.1859171903
上海,景德镇,2016,5,1,117.269337981,29.3071248951
