投资方所在城市,融资方所在城市,年份,投资企业对数,阵营,rzLng,rzLat
昆明,曲靖,2016,23,0,103.93895161,25.7013209994
太原,朔州,2016,14,0,112.731072685,39.4515425822
北京,朝阳,2016,19,1,120.009996791,41.5103736995
天津,本溪,2016,5,0,124.077613678,41.1907857988
上海,杭州,2016,1314,1,119.484701009,29.9049798065
上海,松原,2016,6,1,124.475153872,44.8001982261
北京,枣庄,2016,28,1,117.310288282,35.0325600892
南宁,柳州,2016,51,0,109.379696501,24.9370611389
长沙,株洲,2016,25,0,113.519552948,27.1163929922
南宁,桂林,2016,36,0,110.511766561,25.3519452869
深圳,梅州,2016,11,1,116.07866931,24.2018151873
南宁,梧州,2016,11,0,110.97337166,23.2002931144
西安,榆林,2016,39,0,109.553991328,38.0379812098
北京,武汉,2016,549,1,114.338092289,30.6256542221
贵阳,毕节,2016,8,0,105.210244633,27.0684334498
贵阳,毕节,2016,8,0,105.210244633,27.0684334498
北京,永州,2016,23,1,111.769541227,25.6908733976
西安,汉中,2016,12,0,107.104140807,33.0889083557
深圳,汕头,2016,22,1,116.555530272,23.330681385
深圳,汕尾,2016,18,1,115.532047982,23.015488473
广州,江门,2016,24,0,112.667787985,22.2980836353
上海,池州,2016,7,1,117.366095049,30.2838388703
北京,沈阳,2016,334,1,123.136692183,42.093659482
北京,沧州,2016,90,1,116.752696412,38.2657656361
南宁,河池,2016,16,0,107.840098932,24.6445183862
深圳,河源,2016,39,1,114.957578127,24.041916141
厦门,泉州,2016,251,0,118.255654583,25.211170451
北京,泰安,2016,43,1,117.035710843,36.0009861365
上海,泰州,2016,86,1,120.05755184,32.295852384
成都,泸州,2016,27,0,105.462113801,28.5508654308
郑州,洛阳,2016,51,0,112.02422841,34.2862770095
北京,济南,2016,399,1,117.08325858,36.7325316169
济南,济宁,2016,57,0,116.67539172,35.3785473334
北京,海口,2016,183,1,110.425851879,19.8310955934
北京,淄博,2016,62,1,118.010500338,36.5914699701
上海,淮北,2016,6,1,116.694557639,33.7492103836
合肥,淮南,2016,28,0,116.733045967,32.7568698018
南京,淮安,2016,57,0,118.961844937,33.3561516982
北京,深圳,2016,2666,1,113.981097454,22.6612174267
深圳,清远,2016,60,1,112.875910188,24.3114647761
上海,温州,2016,174,1,120.010122334,27.6625993395
西安,渭南,2016,72,0,109.856936314,34.9518234916
杭州,湖州,2016,536,0,119.871227322,30.74619674
长沙,湘潭,2016,51,0,112.530368577,27.7049103307
广州,湛江,2016,8,0,110.303801914,20.4640326399
合肥,滁州,2016,43,0,118.098885241,32.5449846607
北京,滨州,2016,61,1,117.864583632,37.575764401
北京,漯河,2016,4,1,113.902628459,33.6568181728
厦门,漳州,2016,98,0,117.441200797,24.3831962252
北京,潍坊,2016,139,1,119.075691601,36.536594451
北京,濮阳,2016,12,1,115.186179744,35.818149697
北京,烟台,2016,312,1,120.805459739,37.2364773878
郑州,焦作,2016,26,0,113.117443123,35.1061306585
哈尔滨,牡丹江,2016,21,0,129.889484361,44.5926621777
南宁,玉林,2016,19,0,110.182564447,22.4428700016
昆明,玉溪,2016,23,0,102.678676868,24.2272276938
深圳,珠海,2016,431,1,113.251442783,22.1619886251
长春,白城,2016,8,0,123.010020734,45.3426110899
长春,白山,2016,10,0,127.285610012,42.0676635125
兰州,白银,2016,17,0,105.025181453,36.2452049344
南宁,百色,2016,43,0,107.035772771,23.6614884391
长沙,益阳,2016,27,0,111.808649049,28.3334333691
上海,盐城,2016,109,1,120.175286224,33.5153555609
北京,盘锦,2016,14,1,121.99780925,41.082524232
成都,眉山,2016,43,0,103.641301199,30.0619304809
银川,石嘴山,2016,4,0,106.517788673,38.9755007252
北京,石家庄,2016,391,1,114.44284612,38.1289585008
北京,福州,2016,181,1,119.156889973,26.0641963059
北京,秦皇岛,2016,55,1,119.183889469,40.0884882838
杭州,绍兴,2016,218,0,120.628874142,29.7126723592
北京,绥化,2016,50,1,126.616087847,46.890019373
成都,绵阳,2016,61,0,104.705358137,31.8468625936
济南,聊城,2016,22,0,115.881984089,36.4580882571
广州,肇庆,2016,18,0,112.202555079,23.5397260823
成都,自贡,2016,10,0,104.961213664,29.2217954232
杭州,舟山,2016,150,0,122.13917249,30.0553941995
北京,芜湖,2016,217,1,118.326617536,31.0667366723
上海,苏州,2016,1279,1,120.64180324,31.3759706021
广州,茂名,2016,9,0,110.952666315,22.0152368131
武汉,荆州,2016,40,0,112.655927602,29.8484798317
武汉,荆门,2016,32,0,112.609230363,31.0710770674
福州,莆田,2016,48,0,118.879674516,25.4571400714
北京,莱芜,2016,8,1,117.651838532,36.2867074983
济南,菏泽,2016,55,0,115.689680141,35.1533992642
深圳,萍乡,2016,34,1,113.900285648,27.5155162634
沈阳,营口,2016,18,0,122.487313407,40.3597557385
北京,葫芦岛,2016,18,1,120.192864003,40.6261741141
合肥,蚌埠,2016,25,0,117.327663746,33.1119871271
北京,衡水,2016,23,1,115.852176753,37.6362650134
长沙,衡阳,2016,46,0,112.573420211,26.7925301314
杭州,衢州,2016,98,0,118.677516799,28.9340789716
武汉,襄阳,2016,38,0,111.93766036,31.9344507749
北京,西宁,2016,23,1,101.451113542,36.8142937624
北京,西安,2016,445,1,108.789503511,34.1107819802
郑州,许昌,2016,37,0,113.709213472,34.0727649921
南宁,贵港,2016,26,0,109.998175606,23.3100315884
北京,贵阳,2016,90,1,106.707306335,26.8429934259
成都,资阳,2016,20,0,104.953340591,30.1802755486
南昌,赣州,2016,166,0,115.270276386,25.7067696556
北京,赤峰,2016,36,1,118.904959124,43.1947341885
北京,辽源,2016,10,1,125.304836751,42.8097338625
秦皇岛,辽阳,2016,4,0,123.411641921,41.1253950951
成都,达州,2016,67,0,107.64272373,31.3639402446
北京,运城,2016,17,1,111.086591024,35.1949340498
上海,连云港,2016,16,1,119.131887634,34.5329086065
石家庄,通化,2016,6,0,125.948225432,41.9508001253
北京,通辽,2016,16,1,121.577319554,43.8189888688
成都,遂宁,2016,5,0,105.470484465,30.6311127344
贵阳,遵义,2016,27,0,107.086352088,28.1676619107
北京,邢台,2016,68,1,114.819197893,37.2116829999
北京,邯郸,2016,82,1,114.54555308,36.5509236328
长沙,邵阳,2016,25,0,110.915650898,26.8726168321
北京,郑州,2016,522,1,113.471850802,34.6263627848
长沙,郴州,2016,25,0,113.134839925,25.8116998935
北京,鄂尔多斯,2016,67,1,108.618593771,39.4092533576
武汉,鄂州,2016,22,0,114.805508857,30.44902039
兰州,酒泉,2016,15,0,96.2255513305,40.4581809561
北京,重庆,2016,277,1,107.864385258,30.0553736852
杭州,金华,2016,222,0,119.954268808,29.1164535388
南宁,钦州,2016,20,0,109.024507902,22.1833012192
沈阳,铁岭,2016,19,0,124.172161855,42.6409023987
北京,铜仁,2016,12,1,108.544584764,27.9687206563
北京,铜仁,2016,12,1,108.544584764,27.9687206563
西安,铜川,2016,14,0,109.175338575,35.2981214087
合肥,铜陵,2016,16,0,117.89438707,30.9448598202
北京,银川,2016,132,1,106.341244948,38.2192835973
北京,锦州,2016,14,1,122.1276071,41.7056938843
上海,镇江,2016,182,1,119.481985492,32.0667749698
北京,长春,2016,193,1,125.766739888,44.3768728237
北京,长沙,2016,419,1,113.152959363,28.2295131059
北京,长治,2016,6,1,112.916015096,36.4761566955
沈阳,阜新,2016,6,0,121.959474454,42.2856981048
合肥,阜阳,2016,41,0,115.701807911,32.9158627496
南宁,防城港,2016,18,0,108.002509665,21.8822387144
广州,阳江,2016,4,0,111.774204951,22.0383015818
太原,阳泉,2016,17,0,113.501902518,38.0619533743
呼和浩特,阿拉善盟,2016,8,0,102.484793321,40.4997342418
兰州,陇南,2016,8,0,105.209135288,33.5938826196
武汉,随州,2016,16,0,113.424642017,31.829691489
成都,雅安,2016,14,0,102.661567069,29.9136424572
北京,青岛,2016,630,1,120.143935648,36.456032729
北京,鞍山,2016,9,1,123.311254248,40.4244897423
深圳,韶关,2016,10,1,113.772863358,24.8175018307
上海,马鞍山,2016,38,1,118.613763467,31.5323778572
郑州,驻马店,2016,31,0,114.148797271,32.9243766426
哈尔滨,鸡西,2016,7,0,132.302426461,45.5431717643
北京,鹤壁,2016,4,1,114.354192817,35.6449079221
哈尔滨,鹤岗,2016,5,0,130.31505392,47.7601194496
北京,鹰潭,2016,76,1,117.10685019,28.2253820103
武汉,黄冈,2016,67,0,115.34896726,30.7182656835
北京,黄山,2016,15,1,118.077165369,29.9060894539
武汉,黄石,2016,7,0,115.022554449,29.9281364887
哈尔滨,黑河,2016,8,0,126.996351701,49.2530986124
北京,齐齐哈尔,2016,11,1,124.533878694,47.6967626516
厦门,龙岩,2016,15,0,116.739194013,25.2920661556
