source,target,weight
七台河,营口,0.0006781959986436081
三亚,上海,0.004069175991861648
三亚,上海,0.0006781959986436081
三亚,北京,0.002373685995252628
三亚,北京,0.00169548999660902
三亚,天津,0.00033909799932180403
三亚,楚雄彝族自治州,0.0
三亚,海口,0.00033909799932180403
三亚,海口,0.0
三亚,海口,0.002373685995252628
三明,福州,0.00033909799932180403
三沙,三亚,0.00033909799932180403
三沙,北京,0.0006781959986436081
三沙,宁波,0.00033909799932180403
三沙,海口,0.00033909799932180403
上海,三亚,0.00033909799932180403
上海,三亚,0.0013563919972872161
上海,三亚,0.007799253984401492
上海,三沙,0.00033909799932180403
上海,三沙,0.00033909799932180403
上海,上饶,0.003730077992539844
上海,上饶,0.008816547982366904
上海,东莞,0.005764665988470668
上海,东莞,0.010512037978975925
上海,东莞,0.006442861987114276
上海,东营,0.0006781959986436081
上海,中山,0.0013563919972872161
上海,中山,0.00678195998643608
上海,中山,0.012885723974228552
上海,中山,0.003051881993896236
上海,临沂,0.002034587995930824
上海,临沂,0.005764665988470668
上海,临沂,0.01186842997626314
上海,丽水,0.0006781959986436081
上海,丽水,0.011190233977619531
上海,乌兰察布,0.002034587995930824
上海,乌海,0.00033909799932180403
上海,乌鲁木齐,0.004747371990505256
上海,乌鲁木齐,0.007460155985079688
上海,乌鲁木齐,0.018311291963377416
上海,乌鲁木齐,0.01627670396744659
上海,九江,0.0006781959986436081
上海,九江,0.004069175991861648
上海,九江,0.024754153950491693
上海,九江,0.01865038996269922
上海,云浮,0.00033909799932180403
上海,云浮,0.002034587995930824
上海,亳州,0.0006781959986436081
上海,伊犁哈萨克自治州,0.004069175991861648
上海,伊犁哈萨克自治州,0.03153611393692777
上海,佛山,0.0006781959986436081
上海,佛山,0.00508646998982706
上海,佛山,0.004069175991861648
上海,六安,0.0
上海,六安,0.00678195998643608
上海,兰州,0.00033909799932180403
上海,兰州,0.00678195998643608
上海,兰州,0.0027127839945744322
上海,兰州,0.0027127839945744322
上海,包头,0.00033909799932180403
上海,包头,0.006442861987114276
上海,北京,0.15768056968463887
上海,北京,0.4408273991183452
上海,北京,0.7565276364869448
上海,北京,0.9240420481519159
上海,北海,0.0
上海,十堰,0.00033909799932180403
上海,南京,0.028484231943031537
上海,南京,0.07121057985757884
上海,南京,0.14649033570701933
上海,南京,0.2102407595795185
上海,南宁,0.002034587995930824
上海,南宁,0.0054255679891488644
上海,南宁,0.01017293997965412
上海,南宁,0.017633095964733808
上海,南平,0.0
上海,南平,0.00033909799932180403
上海,南昌,0.00508646998982706
上海,南昌,0.01356391997287216
上海,南昌,0.03967446592065107
上海,南昌,0.04408273991183452
上海,南通,0.023397761953204477
上海,南通,0.05222109189555782
上海,南通,0.09664292980671414
上海,南通,0.10545947778908105
上海,博尔塔拉蒙古自治州,0.001017293997965412
上海,厦门,0.004408273991183452
上海,厦门,0.021363173957273652
上海,厦门,0.03628348592743303
上海,厦门,0.0671414038657172
上海,台州,0.003051881993896236
上海,台州,0.014581213970837573
上海,台州,0.0084774499830451
上海,台州,0.02712783994574432
上海,合肥,0.015259409969481181
上海,合肥,0.02780603594438793
上海,合肥,0.0681586978636826
上海,合肥,0.06917599186164802
上海,吉安,0.0006781959986436081
上海,吉安,0.003730077992539844
上海,吉林,0.001017293997965412
上海,吉林,0.0013563919972872161
上海,呼和浩特,0.00033909799932180403
上海,呼和浩特,0.0013563919972872161
上海,呼和浩特,0.007799253984401492
上海,呼和浩特,0.003730077992539844
上海,哈尔滨,0.00508646998982706
上海,哈尔滨,0.01356391997287216
上海,哈尔滨,0.02034587995930824
上海,喀什地区,0.0006781959986436081
上海,喀什地区,0.003730077992539844
上海,嘉兴,0.04408273991183452
上海,嘉兴,0.09121736181756528
上海,嘉兴,0.14750762970498474
上海,嘉兴,0.3041709053916582
上海,大同,0.00033909799932180403
上海,大庆,0.0006781959986436081
上海,大连,0.001017293997965412
上海,大连,0.0054255679891488644
上海,大连,0.017633095964733808
上海,大连,0.04170905391658189
上海,天津,0.039335367921329266
上海,天津,0.06239403187521193
上海,天津,0.10342488979315022
上海,天津,0.12614445574771108
上海,太原,0.0006781959986436081
上海,太原,0.006103763987792472
上海,太原,0.01593760596812479
上海,太原,0.020006781959986435
上海,威海,0.00033909799932180403
上海,威海,0.003051881993896236
上海,威海,0.005764665988470668
上海,宁德,0.00033909799932180403
上海,宁德,0.002373685995252628
上海,宁波,0.05968124788063751
上海,宁波,0.09053916581892167
上海,宁波,0.23329942353340116
上海,宁波,0.4598168870803662
上海,安庆,0.00033909799932180403
上海,安庆,0.00169548999660902
上海,安庆,0.006442861987114276
上海,安阳,0.00033909799932180403
上海,宜春,0.00508646998982706
上海,宜春,0.0027127839945744322
上海,宜春,0.00508646998982706
上海,宜春,0.009155645981688708
上海,宣城,0.0006781959986436081
上海,宣城,0.0054255679891488644
上海,宣城,0.008138351983723296
上海,宿州,0.00033909799932180403
上海,宿州,0.0006781959986436081
上海,宿州,0.009494743981010512
上海,宿迁,0.005764665988470668
上海,宿迁,0.004069175991861648
上海,宿迁,0.007121057985757884
上海,宿迁,0.008138351983723296
上海,山南地区,0.00033909799932180403
上海,岳阳,0.00033909799932180403
上海,岳阳,0.00033909799932180403
上海,常州,0.005764665988470668
上海,常州,0.02102407595795185
上海,常州,0.04984740590030519
上海,常州,0.05866395388267209
上海,常德,0.00033909799932180403
上海,平顶山,0.00033909799932180403
上海,广州,0.028484231943031537
上海,广州,0.052899287894201424
上海,广州,0.07731434384537131
上海,广州,0.11054594777890811
上海,廊坊,0.0013563919972872161
上海,廊坊,0.0006781959986436081
上海,延边朝鲜族自治州,0.0
上海,延边朝鲜族自治州,0.00033909799932180403
上海,张家口,0.0006781959986436081
上海,张家口,0.004747371990505256
上海,张家口,0.007799253984401492
上海,张家界,0.00033909799932180403
上海,徐州,0.002373685995252628
上海,徐州,0.006442861987114276
上海,徐州,0.012546625974906748
上海,徐州,0.018311291963377416
上海,德州,0.00033909799932180403
上海,德州,0.00033909799932180403
上海,德州,0.0054255679891488644
上海,德阳,0.002373685995252628
上海,忻州,0.00169548999660902
上海,成都,0.03458799593082401
上海,成都,0.06205493387589013
上海,成都,0.12173618175652763
上海,成都,0.14852492370295015
上海,扬州,0.0006781959986436081
上海,扬州,0.014920311970159377
上海,扬州,0.013903017972193964
上海,扬州,0.015598507968802983
上海,抚州,0.0013563919972872161
上海,抚州,0.00169548999660902
