投资方所在城市,融资方所在城市,年份,投资企业对数,阵营,rzLng,rzLat
北京,三亚,2013,73,1,109.417993438,18.3920682395
泉州,三明,2013,6,0,117.397600532,26.2993359511
郑州,三门峡,2013,7,0,110.760616888,34.2297321142
北京,上海,2013,738,1,121.404084553,31.0844617511
深圳,东莞,2013,55,1,113.877717876,22.9852478082
上海,中山,2013,7,1,113.389491138,22.5221140275
太原,临汾,2013,7,0,111.374331297,36.2353877293
潍坊,临沂,2013,5,0,118.279789444,35.3092645187
北京,丹东,2013,5,1,124.406588969,40.5485906661
温州,丽水,2013,11,0,119.510527575,28.1982961548
北京,乌鲁木齐,2013,78,1,87.8094631006,43.5313046469
成都,乐山,2013,13,0,103.532404151,29.1782825258
北京,九江,2013,58,1,115.437787326,29.3279801382
广州,云浮,2013,5,0,111.791609466,22.8645994249
湖州,亳州,2013,9,0,116.182133908,33.4325380314
广州,佛山,2013,75,0,112.94508169,23.0127749858
哈尔滨,佳木斯,2013,10,0,132.200214943,47.255087237
北京,保定,2013,31,1,115.168613586,39.0222939691
深圳,信阳,2013,25,1,114.883648525,32.0816602932
合肥,六安,2013,26,0,116.312145694,31.7560590375
北京,兰州,2013,15,1,103.638543494,36.3489055767
成都,内江,2013,4,0,104.907948563,29.6411079391
呼和浩特,包头,2013,5,0,110.218042216,41.6418500189
上海,北京,2013,468,1,116.409349256,40.1841180253
南宁,北海,2013,10,0,109.335612571,21.6793992485
武汉,十堰,2013,15,0,110.44027763,32.4581748245
北京,南京,2013,143,1,118.842463658,31.9287592963
成都,南充,2013,20,0,106.20434408,31.1959423625
深圳,南宁,2013,42,1,108.464015667,23.0584134307
福州,南平,2013,13,0,118.143817602,27.3394707962
上海,南昌,2013,18,1,116.024443256,28.6633621609
上海,南通,2013,72,1,120.996756876,32.1893721211
郑州,南阳,2013,10,0,112.286515719,33.0462533589
北京,厦门,2013,35,1,118.110687591,24.6830448658
哈尔滨,双鸭山,2013,5,0,132.144828937,46.3072456498
杭州,台州,2013,23,0,121.089649417,28.7920082915
上海,合肥,2013,48,1,117.286266302,31.9771580754
深圳,吉安,2013,5,1,114.822849138,26.9730002281
北京,吉林,2013,26,1,126.841290435,43.5774601864
太原,吕梁,2013,6,0,111.262529043,37.6767890314
银川,吴忠,2013,29,0,107.056492602,37.6284503763
北京,呼和浩特,2013,19,1,111.399370918,40.5810079565
武汉,咸宁,2013,16,0,114.174914704,29.6259158262
西安,咸阳,2013,24,0,108.4494129,34.8272305748
北京,哈尔滨,2013,41,1,127.962992428,45.6369913133
北京,唐山,2013,23,1,118.340532724,39.7358857445
泉州,商丘,2013,5,0,115.699500504,34.2909714488
上海,嘉兴,2013,133,1,120.753919978,30.654868568
北京,大庆,2013,5,1,124.317028033,46.527882805
北京,大连,2013,18,1,122.219575666,39.6124317573
兰州,天水,2013,5,0,105.740149962,34.6504716072
北京,天津,2013,468,1,117.332394543,39.3085542563
北京,太原,2013,19,1,112.314062259,37.9595409573
济南,威海,2013,12,0,121.982230785,37.1191305819
长沙,娄底,2013,4,0,111.208381843,27.8588837544
武汉,孝感,2013,26,0,113.879115408,31.1191958665
福州,宁德,2013,22,0,119.525337183,27.1525886371
上海,宁波,2013,179,1,121.462283516,29.7195882339
北京,安庆,2013,4,1,116.594268791,30.6106751261
郑州,安阳,2013,5,0,114.636913626,35.4832428865
成都,宜宾,2013,12,0,104.635831189,28.5712774941
武汉,宜昌,2013,26,0,111.136025443,30.7482684559
上海,宜春,2013,18,1,115.061146398,28.5700976185
西安,宝鸡,2013,6,0,107.201963817,34.3783133934
合肥,宣城,2013,12,0,118.856128319,30.690931106
上海,宿州,2013,4,1,117.212164673,33.859664667
北京,宿迁,2013,27,1,118.518044118,33.7845818342
长沙,岳阳,2013,8,0,113.255373328,29.06454046
南宁,崇左,2013,14,0,107.275593841,22.5025039596
成都,巴中,2013,6,0,107.038188833,32.0155969603
呼和浩特,巴彦淖尔,2013,8,0,107.564661657,41.5878397003
上海,常州,2013,20,1,119.679057019,31.6925543935
长沙,常德,2013,14,0,111.523850854,29.2974406323
郑州,平顶山,2013,11,0,113.014207438,33.7968717013
成都,广元,2013,16,0,105.77965861,32.2606905652
成都,广安,2013,5,0,106.663515367,30.4249383604
深圳,广州,2013,168,1,113.535309762,23.3572458759
北京,廊坊,2013,85,1,116.535844506,39.1117554763
郑州,开封,2013,13,0,114.534456752,34.6086381576
北京,张家口,2013,16,1,115.02997891,40.8611481583
常州,张掖,2013,4,0,99.90171985,38.9235853398
南京,徐州,2013,13,0,117.480705662,34.2587766939
济南,德州,2013,5,0,116.64541331,37.244336402
成都,德阳,2013,39,0,104.430667514,31.1339756257
太原,忻州,2013,5,0,112.43027139,38.6914375116
长沙,怀化,2013,8,0,110.069225757,27.5427297621
深圳,惠州,2013,72,1,114.497757221,23.2450284889
北京,成都,2013,202,1,103.501067544,30.5086877776
上海,扬州,2013,5,1,119.471409838,32.7375896346
南昌,抚州,2013,5,0,116.433348614,27.5092972994
沈阳,抚顺,2013,10,0,124.653898593,41.8327974774
北京,拉萨,2013,24,1,91.1028799309,30.0334521208
成都,攀枝花,2013,6,0,101.731413397,26.8061938317
郑州,新乡,2013,11,0,114.092211697,35.2670772631
杭州,新余,2013,57,0,114.851202951,27.8472307759
上海,无锡,2013,80,1,120.351629529,31.6615440474
伊犁哈萨克自治州,日照,2013,4,0,119.134088275,35.5841759127
北京,昆明,2013,24,1,102.875102299,25.3852977816
昆明,昭通,2013,4,0,103.998145486,27.6525864948
太原,晋中,2013,6,0,112.961855815,37.3279302446
昆明,曲靖,2013,6,0,103.93895161,25.7013209994
沈阳,朝阳,2013,4,0,120.009996791,41.5103736995
沈阳,本溪,2013,4,0,124.077613678,41.1907857988
南宁,来宾,2013,30,0,109.427327974,23.6420750123
上海,杭州,2013,204,1,119.484701009,29.9049798065
长春,松原,2013,5,0,124.475153872,44.8001982261
潍坊,枣庄,2013,7,0,117.310288282,35.0325600892
南宁,柳州,2013,26,0,109.379696501,24.9370611389
长沙,株洲,2013,9,0,113.519552948,27.1163929922
南宁,桂林,2013,8,0,110.511766561,25.3519452869
南宁,梧州,2013,5,0,110.97337166,23.2002931144
西安,榆林,2013,4,0,109.553991328,38.0379812098
北京,武汉,2013,100,1,114.338092289,30.6256542221
长沙,永州,2013,6,0,111.769541227,25.6908733976
西安,汉中,2013,4,0,107.104140807,33.0889083557
佛山,江门,2013,8,0,112.667787985,22.2980836353
合肥,池州,2013,30,0,117.366095049,30.2838388703
北京,沈阳,2013,119,1,123.136692183,42.093659482
北京,沧州,2013,23,1,116.752696412,38.2657656361
南宁,河池,2013,4,0,107.840098932,24.6445183862
深圳,河源,2013,6,1,114.957578127,24.041916141
厦门,泉州,2013,46,0,118.255654583,25.211170451
上海,泰州,2013,9,1,120.05755184,32.295852384
成都,泸州,2013,6,0,105.462113801,28.5508654308
郑州,洛阳,2013,30,0,112.02422841,34.2862770095
北京,济南,2013,43,1,117.08325858,36.7325316169
北京,济宁,2013,16,1,116.67539172,35.3785473334
北京,海口,2013,9,1,110.425851879,19.8310955934
济南,淄博,2013,5,0,118.010500338,36.5914699701
南京,淮安,2013,26,0,118.961844937,33.3561516982
北京,深圳,2013,580,1,113.981097454,22.6612174267
广州,清远,2013,4,0,112.875910188,24.3114647761
上海,温州,2013,29,1,120.010122334,27.6625993395
西安,渭南,2013,7,0,109.856936314,34.9518234916
杭州,湖州,2013,106,0,119.871227322,30.74619674
长沙,湘潭,2013,7,0,112.530368577,27.7049103307
合肥,滁州,2013,15,0,118.098885241,32.5449846607
厦门,漳州,2013,49,0,117.441200797,24.3831962252
北京,潍坊,2013,13,1,119.075691601,36.536594451
北京,烟台,2013,43,1,120.805459739,37.2364773878
郑州,焦作,2013,12,0,113.117443123,35.1061306585
南宁,玉林,2013,19,0,110.182564447,22.4428700016
广州,珠海,2013,55,0,113.251442783,22.1619886251
南宁,百色,2013,16,0,107.035772771,23.6614884391
长沙,益阳,2013,4,0,111.808649049,28.3334333691
南京,盐城,2013,14,0,120.175286224,33.5153555609
大连,盘锦,2013,11,0,121.99780925,41.082524232
成都,眉山,2013,34,0,103.641301199,30.0619304809
银川,石嘴山,2013,8,0,106.517788673,38.9755007252
北京,石家庄,2013,63,1,114.44284612,38.1289585008
北京,福州,2013,10,1,119.156889973,26.0641963059
杭州,绍兴,2013,84,0,120.628874142,29.7126723592
