投资方所在城市,融资方所在城市,年份,投资企业对数,阵营,rzLng,rzLat
哈尔滨,七台河,2014,4,0,130.862744666,45.8972784732
北京,三亚,2014,34,1,109.417993438,18.3920682395
福州,三明,2014,29,0,117.397600532,26.2993359511
北京,三门峡,2014,14,1,110.760616888,34.2297321142
北京,上海,2014,1890,1,121.404084553,31.0844617511
南昌,上饶,2014,21,0,117.9497646,28.7600838811
深圳,东莞,2014,145,1,113.877717876,22.9852478082
上海,东营,2014,5,1,118.615798406,37.6303322383
北京,中卫,2014,5,1,105.706395331,36.5693450516
上海,中山,2014,23,1,113.389491138,22.5221140275
太原,临汾,2014,27,0,111.374331297,36.2353877293
济南,临沂,2014,14,0,118.279789444,35.3092645187
大连,丹东,2014,9,0,124.406588969,40.5485906661
杭州,丽水,2014,25,0,119.510527575,28.1982961548
北京,乌兰察布,2014,7,1,112.459882056,41.6808643781
北京,乌鲁木齐,2014,90,1,87.8094631006,43.5313046469
成都,乐山,2014,18,0,103.532404151,29.1782825258
北京,九江,2014,39,1,115.437787326,29.3279801382
上海,云浮,2014,4,1,111.791609466,22.8645994249
合肥,亳州,2014,19,0,116.182133908,33.4325380314
广州,佛山,2014,98,0,112.94508169,23.0127749858
哈尔滨,佳木斯,2014,21,0,132.200214943,47.255087237
北京,保定,2014,119,1,115.168613586,39.0222939691
深圳,信阳,2014,17,1,114.883648525,32.0816602932
合肥,六安,2014,41,0,116.312145694,31.7560590375
贵阳,六盘水,2014,45,0,104.651762927,25.8547514439
北京,兰州,2014,39,1,103.638543494,36.3489055767
成都,内江,2014,4,0,104.907948563,29.6411079391
北京,包头,2014,38,1,110.218042216,41.6418500189
上海,北京,2014,1303,1,116.409349256,40.1841180253
北京,十堰,2014,26,1,110.44027763,32.4581748245
北京,南京,2014,254,1,118.842463658,31.9287592963
成都,南充,2014,30,0,106.20434408,31.1959423625
深圳,南宁,2014,46,1,108.464015667,23.0584134307
福州,南平,2014,17,0,118.143817602,27.3394707962
深圳,南昌,2014,54,1,116.024443256,28.6633621609
上海,南通,2014,157,1,120.996756876,32.1893721211
郑州,南阳,2014,14,0,112.286515719,33.0462533589
北京,厦门,2014,86,1,118.110687591,24.6830448658
上海,台州,2014,46,1,121.089649417,28.7920082915
北京,合肥,2014,144,1,117.286266302,31.9771580754
南昌,吉安,2014,16,0,114.822849138,26.9730002281
深圳,吉林,2014,60,1,126.841290435,43.5774601864
太原,吕梁,2014,53,0,111.262529043,37.6767890314
银川,吴忠,2014,43,0,107.056492602,37.6284503763
郑州,周口,2014,17,0,114.878292807,33.724344276
北京,呼伦贝尔,2014,21,1,121.178173784,49.6519523509
北京,呼和浩特,2014,85,1,111.399370918,40.5810079565
武汉,咸宁,2014,17,0,114.174914704,29.6259158262
西安,咸阳,2014,47,0,108.4494129,34.8272305748
北京,哈尔滨,2014,114,1,127.962992428,45.6369913133
北京,唐山,2014,91,1,118.340532724,39.7358857445
郑州,商丘,2014,16,0,115.699500504,34.2909714488
西安,商洛,2014,6,0,109.898496199,33.6490876037
上海,嘉兴,2014,272,1,120.753919978,30.654868568
长春,四平,2014,10,0,124.473024459,43.5691446169
深圳,固原,2014,5,1,106.182674483,35.9493871692
太原,大同,2014,18,0,113.719411,39.9017848222
哈尔滨,大庆,2014,16,0,124.317028033,46.527882805
北京,大连,2014,45,1,122.219575666,39.6124317573
兰州,天水,2014,10,0,105.740149962,34.6504716072
北京,天津,2014,923,1,117.332394543,39.3085542563
北京,太原,2014,124,1,112.314062259,37.9595409573
北京,威海,2014,34,1,121.982230785,37.1191305819
长沙,娄底,2014,12,0,111.208381843,27.8588837544
武汉,孝感,2014,56,0,113.879115408,31.1191958665
福州,宁德,2014,9,0,119.525337183,27.1525886371
北京,宁波,2014,308,1,121.462283516,29.7195882339
合肥,安庆,2014,9,0,116.594268791,30.6106751261
郑州,安阳,2014,24,0,114.636913626,35.4832428865
贵阳,安顺,2014,4,0,105.951365814,25.9956824501
兰州,定西,2014,28,0,104.450809433,35.1188717502
成都,宜宾,2014,24,0,104.635831189,28.5712774941
武汉,宜昌,2014,50,0,111.136025443,30.7482684559
南昌,宜春,2014,19,0,115.061146398,28.5700976185
西安,宝鸡,2014,5,0,107.201963817,34.3783133934
